state,cc_status,repeal_year,notes
AL,adopted,,rebrand 2013
AK,never,,
AZ,adopted,,rebrand 2015-16
AR,adopted,,
CA,adopted,,
CO,adopted,,
CT,adopted,,
DE,adopted,,
DC,adopted,,
FL,adopted,,replaced 2020 post-period
GA,adopted,,rebrand 2015
HI,adopted,,
ID,adopted,,replaced 2022 post-period
IL,adopted,,
IN,adopted,2014,first repeal Mar 2014
IA,adopted,,
KS,adopted,,
KY,adopted,,revision 2017
LA,adopted,,
ME,adopted,,
MD,adopted,,
MA,adopted,,
MI,adopted,,
MN,partial_ela_only,,math never adopted
MS,adopted,,
MO,adopted,,
MT,adopted,,
NE,never,,
NV,adopted,,
NH,adopted,,
NJ,adopted,,rebrand 2016
NM,adopted,,
NY,adopted,,implementation backlash
NC,adopted,,
ND,adopted,,
OH,adopted,,
OK,adopted,2014,repeal Jun 2014 reverted to prior standards
OR,adopted,,
PA,adopted,,PA Core adaptation
RI,adopted,,
SC,adopted,2014,repeal 2014 new standards 2015-16
SD,adopted,,
TN,adopted,,replaced 2017-18
TX,never,,
UT,adopted,,
VT,adopted,,
VA,never,,
WA,adopted,,
WV,adopted,,rebrand
WI,adopted,,
WY,adopted,,latest adopter 2012
