StateAbbrev,share_inperson,share_hybrid,share_virtual,n_districts,total_enrollment
AK,0.4307,0.1052,0.4642,52.0,129014.0
AL,0.7184,0.2507,0.0309,142.0,731628.0
AR,0.8684,0.1255,0.0061,261.0,482433.0
AZ,0.0245,0.5778,0.3977,429.0,997174.0
CA,0.0691,0.2186,0.7122,1895.0,5910436.0
CO,0.2807,0.4231,0.2962,178.0,856564.0
CT,0.4893,0.4035,0.1072,197.0,508813.0
DC,0.0,0.5,0.5,1.0,50317.0
DE,0.171,0.6913,0.1377,42.0,138092.0
FL,0.9681,0.0,0.0319,66.0,2748883.0
GA,0.4826,0.1897,0.3277,215.0,1712063.0
HI,0.053,0.2404,0.7066,1.0,176441.0
ID,0.6293,0.3266,0.0441,163.0,297856.0
IL,0.2394,0.4132,0.3474,862.0,1885115.0
IN,0.7538,0.0833,0.1629,382.0,1013815.0
KS,0.6475,0.2311,0.1213,286.0,481497.0
KY,0.0339,0.5243,0.4418,170.0,658356.0
LA,0.7033,0.1921,0.1046,178.0,681408.0
MA,0.2687,0.533,0.1983,397.0,908004.0
MD,0.0192,0.5125,0.4683,24.0,882124.0
ME,0.377,0.6051,0.0179,193.0,169959.0
MI,0.3994,0.4204,0.1802,810.0,1379281.0
MN,0.1486,0.6503,0.2012,533.0,871955.0
MO,0.5275,0.3389,0.1336,556.0,882093.0
MS,0.6617,0.1892,0.1491,145.0,435039.0
NC,0.0487,0.6358,0.3155,318.0,1507206.0
ND,0.7735,0.1937,0.0328,172.0,114942.0
NE,0.5962,0.3601,0.0437,248.0,324281.0
NH,0.4474,0.4255,0.1271,184.0,164255.0
NJ,0.1081,0.5513,0.3405,651.0,1373448.0
NM,0.2163,0.1539,0.6297,140.0,315205.0
NV,0.1727,0.3247,0.5026,20.0,486617.0
NY,0.142,0.7444,0.1137,716.0,2435233.0
OH,0.5004,0.3229,0.1767,609.0,1521994.0
OR,0.0846,0.3275,0.5879,196.0,558930.0
PA,0.1713,0.5445,0.2842,640.0,1592628.0
RI,0.4618,0.4434,0.0948,57.0,137552.0
SC,0.4381,0.5039,0.0581,80.0,741688.0
SD,0.9567,0.0125,0.0307,149.0,139297.0
TN,0.2095,0.6532,0.1373,146.0,983982.0
TX,0.8866,0.0,0.1134,1202.0,5337046.0
UT,0.2432,0.7275,0.0293,142.0,658390.0
VA,0.1441,0.6174,0.2384,132.0,1251486.0
VT,0.3549,0.6175,0.0277,102.0,81910.0
WA,0.0477,0.3598,0.5924,313.0,1086598.0
WI,0.5508,0.2354,0.2138,423.0,814042.0
WV,0.3708,0.4157,0.2134,55.0,253447.0
WY,0.9262,0.0646,0.0092,48.0,92611.0
