state,2018-19,2021-22,2022-23,2023-24,2024-25
National estimate,15,28,25,23,22%*
Alabama,11.2,17.9,17.9,14.8,12.1%
Alaska,29,48.6,45,43.4,42.8%
Arizona,12.7,32,28.1,24.4,23.8%
California,12.1,30,24.9,20.4,19.4%
Colorado,22.5,34.5,31.1,27.7,28.4%
Connecticut,10.4,23.7,20,17.7,17.2%
District of Columbia,30.2,48,43.1,39.2,39.5%
Delaware,13.2,24.8,20.6,19.2,15.3%
Florida,20,32.3,30.9,31.4,
Georgia,12.1,23.9,22.6,21.3,19.5%
Hawaii,13.8,33.9,27.4,25.3,23.9%
Idaho,11.1,20.6,17.1,15,14.6%
Illinois,17.5,29.8,28.3,26.3,25.4%
Indiana,11.2,21.1,19.2,17.8,16.7%
Iowa,12,25.6,22.6,21.6,15.8%
Kansas,13.9,24.5,21.8,19.8,19.6%
Kentucky,17.8,,29.8,28,25%
Louisiana,18.8,19.9,21.9,24.6,22.5%
Maine,16.7,31.1,26.8,24.1,24.1%
Maryland,19.5,30.9,29.8,26.7,25.2%
Massachusetts,12.9,27.7,22.2,19.7,18.8%
Michigan,19.7,38.5,30.8,29.5,27.9%
Minnesota,,30.2,25.5,24.5,24.5%
Mississippi,13,28,23.9,24.4,27.6%
Missouri,12.7,23.8,23.4,21.8,21.5%
Nebraska,14.7,23.9,22.4,22.1,21.2%
Nevada,18.8,36,34.9,29.3,26.6%
New Jersey,10.6,18.1,16.6,14.9,
New Mexico,17.9,40.7,39.2,29.8,33.1%
New York,18.6,32.6,29.1,27.4,27%
North Carolina,15.9,31.2,26.7,25,24.2%
North Dakota,12,22,20,20,20%
Ohio,16.7,30.2,26.8,25.6,25.1%
Oklahoma,14,19.5,20,19,19.1%
Oregon,20.4,36.1,38.1,34.3,33.5%
Pennsylvania,14.3,26.1,21.9,20.4,
Rhode Island,19.1,34.1,28.9,24.7,22.1%
South Carolina,13.8,24.7,22.5,22.3,
South Dakota,14,22,21,21,20%
Tennessee,13.1,20.3,20.2,18.9,18.3%
Texas,11.4,25.7,20.3,19,19%
Utah,14.3,27.2,25.2,23.8,23.8%
Virginia,10.6,20.1,19.3,16.1,14.8%
Washington,15.1,32.8,30,27.3,27.1%
West Virginia,20,29.1,27.6,23.5,22.8%
Wisconsin,12.9,22.7,19.5,17.7,17.3%
