subject,grade,year,stat,group,value,displayable
MAT,4,2009,MN:MN,None,243.49544660937,1
MAT,4,2009,MN:MN,1-2 days,238.883966070803,1
MAT,4,2009,MN:MN,3-4 days,233.733897950697,1
MAT,4,2009,MN:MN,5-10 days,231.200288255349,1
MAT,4,2009,MN:MN,More than 10 days,215.163623530292,1
MAT,4,2011,MN:MN,None,244.352621885971,1
MAT,4,2011,MN:MN,1-2 days,240.416379410162,1
MAT,4,2011,MN:MN,3-4 days,235.069059026385,1
MAT,4,2011,MN:MN,5-10 days,232.211601608668,1
MAT,4,2011,MN:MN,More than 10 days,218.282815999358,1
MAT,4,2013,MN:MN,None,245.690069877134,1
MAT,4,2013,MN:MN,1-2 days,240.665305197813,1
MAT,4,2013,MN:MN,3-4 days,235.139884939494,1
MAT,4,2013,MN:MN,5-10 days,235.386202647767,1
MAT,4,2013,MN:MN,More than 10 days,218.37629513742,1
MAT,4,2015,MN:MN,None,245.184411065247,1
MAT,4,2015,MN:MN,1-2 days,239.567813031059,1
MAT,4,2015,MN:MN,3-4 days,233.140032402001,1
MAT,4,2015,MN:MN,5-10 days,231.289247236957,1
MAT,4,2015,MN:MN,More than 10 days,215.565604651749,1
MAT,4,2009,RP:RP,None,52.3709491429885,1
MAT,4,2009,RP:RP,1-2 days,29.2876457799491,1
MAT,4,2009,RP:RP,3-4 days,11.3245285632507,1
MAT,4,2009,RP:RP,5-10 days,4.53451925946749,1
MAT,4,2009,RP:RP,More than 10 days,2.48235725434428,1
MAT,4,2011,RP:RP,None,50.3616014890843,1
MAT,4,2011,RP:RP,1-2 days,30.1425804838261,1
MAT,4,2011,RP:RP,3-4 days,12.1771158303995,1
MAT,4,2011,RP:RP,5-10 days,4.8625441363,1
MAT,4,2011,RP:RP,More than 10 days,2.45615806039013,1
MAT,4,2013,RP:RP,None,50.1250993464043,1
MAT,4,2013,RP:RP,1-2 days,30.4213102934059,1
MAT,4,2013,RP:RP,3-4 days,11.8583711609968,1
MAT,4,2013,RP:RP,5-10 days,5.067860937218,1
MAT,4,2013,RP:RP,More than 10 days,2.52735826197505,1
MAT,4,2015,RP:RP,None,50.8550660377946,1
MAT,4,2015,RP:RP,1-2 days,29.8913408842467,1
MAT,4,2015,RP:RP,3-4 days,11.6986725488904,1
MAT,4,2015,RP:RP,5-10 days,4.83706429308014,1
MAT,4,2015,RP:RP,More than 10 days,2.71785623598824,1
MAT,4,2017,MN:MN,None,246.183872800567,1
MAT,4,2017,MN:MN,1-2 days,241.952690163075,1
MAT,4,2017,MN:MN,3-4 days,234.641317586338,1
MAT,4,2017,MN:MN,5-10 days,230.917325611051,1
MAT,4,2017,MN:MN,More than 10 days,211.919272862662,1
MAT,4,2019,MN:MN,None,247.527075320236,1
MAT,4,2019,MN:MN,1-2 days,241.158787598127,1
