dataset,subject,grade,year,jurisdiction,jurisLabel,stat,variable,group,value,errorFlag,displayable
national,MAT,4,1990,NT,National,MN:MN,TOTAL,All students,213.065106513695,8,1
national,MAT,4,1990,NT,National,PC:P1,TOTAL,All students,171.05599975586,8,1
national,MAT,4,1990,NT,National,PC:P2,TOTAL,All students,192.846002197266,8,1
national,MAT,4,1990,NT,National,PC:P5,TOTAL,All students,213.962002563477,8,1
national,MAT,4,1990,NT,National,PC:P7,TOTAL,All students,234.688003540039,8,1
national,MAT,4,1990,NT,National,PC:P9,TOTAL,All students,253.267999267578,8,1
national,MAT,4,1992,NT,National,MN:MN,TOTAL,All students,219.711297946388,8,1
national,MAT,4,1992,NT,National,PC:P1,TOTAL,All students,177.463998413086,8,1
national,MAT,4,1992,NT,National,PC:P2,TOTAL,All students,198.855999755859,8,1
national,MAT,4,1992,NT,National,PC:P5,TOTAL,All students,221.396002197265,8,1
national,MAT,4,1992,NT,National,PC:P7,TOTAL,All students,241.836001586914,8,1
national,MAT,4,1992,NT,National,PC:P9,TOTAL,All students,259.085998535156,8,1
national,MAT,4,1996,NT,National,MN:MN,TOTAL,All students,223.914417135957,8,1
national,MAT,4,1996,NT,National,PC:P1,TOTAL,All students,182.117999267578,8,1
national,MAT,4,1996,NT,National,PC:P2,TOTAL,All students,203.567999267578,8,1
national,MAT,4,1996,NT,National,PC:P5,TOTAL,All students,225.838000488281,8,1
national,MAT,4,1996,NT,National,PC:P7,TOTAL,All students,245.573999023438,8,1
national,MAT,4,1996,NT,National,PC:P9,TOTAL,All students,262.485998535156,8,1
national,MAT,4,2000,NT,National,MN:MN,TOTAL,All students,225.582028357341,0,1
national,MAT,4,2000,NT,National,PC:P1,TOTAL,All students,184.016000366211,0,1
national,MAT,4,2000,NT,National,PC:P2,TOTAL,All students,204.536001586914,0,1
national,MAT,4,2000,NT,National,PC:P5,TOTAL,All students,227.058001708984,0,1
national,MAT,4,2000,NT,National,PC:P7,TOTAL,All students,247.871997070312,0,1
national,MAT,4,2000,NT,National,PC:P9,TOTAL,All students,264.869995117188,0,1
national,MAT,4,2003,NT,National,MN:MN,TOTAL,All students,234.928248674653,0,1
national,MAT,4,2003,NT,National,PC:P1,TOTAL,All students,197.400003051758,0,1
national,MAT,4,2003,NT,National,PC:P2,TOTAL,All students,216.187997436523,0,1
national,MAT,4,2003,NT,National,PC:P5,TOTAL,All students,236.292001342774,0,1
national,MAT,4,2003,NT,National,PC:P7,TOTAL,All students,254.987997436523,0,1
national,MAT,4,2003,NT,National,PC:P9,TOTAL,All students,270.421997070313,0,1
national,MAT,4,2005,NT,National,MN:MN,TOTAL,All students,237.870745610556,0,1
national,MAT,4,2005,NT,National,PC:P1,TOTAL,All students,200.438000488281,0,1
national,MAT,4,2005,NT,National,PC:P2,TOTAL,All students,219.57200012207,0,1
national,MAT,4,2005,NT,National,PC:P5,TOTAL,All students,239.393997192383,0,1
national,MAT,4,2005,NT,National,PC:P7,TOTAL,All students,257.540002441406,0,1
national,MAT,4,2005,NT,National,PC:P9,TOTAL,All students,272.941998291016,0,1
national,MAT,4,2007,NT,National,MN:MN,TOTAL,All students,239.715769387218,0,1
national,MAT,4,2007,NT,National,PC:P1,TOTAL,All students,202.129995727539,0,1
national,MAT,4,2007,NT,National,PC:P2,TOTAL,All students,221.838003540039,0,1
national,MAT,4,2007,NT,National,PC:P5,TOTAL,All students,241.644000244141,0,1
national,MAT,4,2007,NT,National,PC:P7,TOTAL,All students,259.632000732422,0,1
national,MAT,4,2007,NT,National,PC:P9,TOTAL,All students,274.608001708985,0,1
national,MAT,4,2009,NT,National,MN:MN,TOTAL,All students,239.67186877293,0,1
national,MAT,4,2009,NT,National,PC:P1,TOTAL,All students,202.051998901367,0,1
national,MAT,4,2009,NT,National,PC:P2,TOTAL,All students,221.251998901367,0,1
national,MAT,4,2009,NT,National,PC:P5,TOTAL,All students,241.194000244141,0,1
national,MAT,4,2009,NT,National,PC:P7,TOTAL,All students,259.672003173828,0,1
national,MAT,4,2009,NT,National,PC:P9,TOTAL,All students,275.151995849609,0,1
national,MAT,4,2011,NT,National,MN:MN,TOTAL,All students,240.6832058282,0,1
national,MAT,4,2011,NT,National,PC:P1,TOTAL,All students,202.766000366211,0,1
national,MAT,4,2011,NT,National,PC:P2,TOTAL,All students,222.197998046875,0,1
national,MAT,4,2011,NT,National,PC:P5,TOTAL,All students,242.17200012207,0,1
national,MAT,4,2011,NT,National,PC:P7,TOTAL,All students,260.774005126953,0,1
national,MAT,4,2011,NT,National,PC:P9,TOTAL,All students,276.379998779297,0,1
national,MAT,4,2013,NT,National,MN:MN,TOTAL,All students,241.550783175736,0,1
national,MAT,4,2013,NT,National,PC:P1,TOTAL,All students,202.815000915527,0,1
national,MAT,4,2013,NT,National,PC:P2,TOTAL,All students,222.445499420166,0,1
national,MAT,4,2013,NT,National,PC:P5,TOTAL,All students,243.034499359131,0,1
national,MAT,4,2013,NT,National,PC:P7,TOTAL,All students,262.074998474121,0,1
national,MAT,4,2013,NT,National,PC:P9,TOTAL,All students,278.212002563477,0,1
national,MAT,4,2015,NT,National,MN:MN,TOTAL,All students,240.389287044695,0,1
