dataset,subject,grade,year,jurisdiction,stat,variable,group,value,errorFlag,displayable
schtype_pct,MAT,4,2003,NT,PC:P1,SCHTYPE,Public,196.344000244141,0,1
schtype_pct,MAT,4,2003,NT,PC:P2,SCHTYPE,Public,215.073999023438,0,1
schtype_pct,MAT,4,2003,NT,PC:P5,SCHTYPE,Public,235.217999267578,0,1
schtype_pct,MAT,4,2003,NT,PC:P7,SCHTYPE,Public,254.05599975586,0,1
schtype_pct,MAT,4,2003,NT,PC:P9,SCHTYPE,Public,269.69599609375,0,1
schtype_pct,MAT,4,2003,NT,PC:P1,SCHTYPE,Other private,209.982000732422,0,1
schtype_pct,MAT,4,2003,NT,PC:P2,SCHTYPE,Other private,227.544000244141,0,1
schtype_pct,MAT,4,2003,NT,PC:P5,SCHTYPE,Other private,246.132000732422,0,1
schtype_pct,MAT,4,2003,NT,PC:P7,SCHTYPE,Other private,262.832000732422,0,1
schtype_pct,MAT,4,2003,NT,PC:P9,SCHTYPE,Other private,276.99799194336,0,1
schtype_pct,MAT,4,2003,NT,PC:P1,SCHTYPE,Catholic,210.802001953125,0,1
schtype_pct,MAT,4,2003,NT,PC:P2,SCHTYPE,Catholic,228.065997314453,0,1
schtype_pct,MAT,4,2003,NT,PC:P5,SCHTYPE,Catholic,244.741998291016,0,1
schtype_pct,MAT,4,2003,NT,PC:P7,SCHTYPE,Catholic,260.859997558594,0,1
schtype_pct,MAT,4,2003,NT,PC:P9,SCHTYPE,Catholic,274.488000488281,0,1
schtype_pct,MAT,4,2003,NT,PC:P1,SCHTYPE,Bureau of Indian Education,999,257,0
schtype_pct,MAT,4,2003,NT,PC:P2,SCHTYPE,Bureau of Indian Education,999,257,0
schtype_pct,MAT,4,2003,NT,PC:P5,SCHTYPE,Bureau of Indian Education,999,257,0
schtype_pct,MAT,4,2003,NT,PC:P7,SCHTYPE,Bureau of Indian Education,999,257,0
schtype_pct,MAT,4,2003,NT,PC:P9,SCHTYPE,Bureau of Indian Education,999,257,0
schtype_pct,MAT,4,2003,NT,PC:P1,SCHTYPE,Department of Defense,206.730001831055,0,1
schtype_pct,MAT,4,2003,NT,PC:P2,SCHTYPE,Department of Defense,222.12200012207,0,1
schtype_pct,MAT,4,2003,NT,PC:P5,SCHTYPE,Department of Defense,238.733999633789,0,1
schtype_pct,MAT,4,2003,NT,PC:P7,SCHTYPE,Department of Defense,253.128002929688,0,1
schtype_pct,MAT,4,2003,NT,PC:P9,SCHTYPE,Department of Defense,265.684002685547,0,1
schtype_pct,MAT,4,2005,NT,PC:P1,SCHTYPE,Public,199.394000244141,0,1
schtype_pct,MAT,4,2005,NT,PC:P2,SCHTYPE,Public,218.609997558594,0,1
schtype_pct,MAT,4,2005,NT,PC:P5,SCHTYPE,Public,238.622003173828,0,1
schtype_pct,MAT,4,2005,NT,PC:P7,SCHTYPE,Public,256.891998291016,0,1
schtype_pct,MAT,4,2005,NT,PC:P9,SCHTYPE,Public,272.45,0,1
schtype_pct,MAT,4,2005,NT,PC:P1,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2005,NT,PC:P2,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2005,NT,PC:P5,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2005,NT,PC:P7,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2005,NT,PC:P9,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2005,NT,PC:P1,SCHTYPE,Catholic,211.805999755859,0,1
schtype_pct,MAT,4,2005,NT,PC:P2,SCHTYPE,Catholic,227.779998779297,0,1
schtype_pct,MAT,4,2005,NT,PC:P5,SCHTYPE,Catholic,244.405999755859,0,1
schtype_pct,MAT,4,2005,NT,PC:P7,SCHTYPE,Catholic,260.412005615235,0,1
schtype_pct,MAT,4,2005,NT,PC:P9,SCHTYPE,Catholic,273.705999755859,0,1
schtype_pct,MAT,4,2005,NT,PC:P1,SCHTYPE,Bureau of Indian Education,175.571997070313,0,1
schtype_pct,MAT,4,2005,NT,PC:P2,SCHTYPE,Bureau of Indian Education,193.499996948242,0,1
schtype_pct,MAT,4,2005,NT,PC:P5,SCHTYPE,Bureau of Indian Education,212.366003417969,0,1
schtype_pct,MAT,4,2005,NT,PC:P7,SCHTYPE,Bureau of Indian Education,227.752001953125,0,1
schtype_pct,MAT,4,2005,NT,PC:P9,SCHTYPE,Bureau of Indian Education,240.801998901367,0,1
schtype_pct,MAT,4,2005,NT,PC:P1,SCHTYPE,Department of Defense,206.972003173828,0,1
schtype_pct,MAT,4,2005,NT,PC:P2,SCHTYPE,Department of Defense,223.020001220703,0,1
schtype_pct,MAT,4,2005,NT,PC:P5,SCHTYPE,Department of Defense,239.971997070312,0,1
schtype_pct,MAT,4,2005,NT,PC:P7,SCHTYPE,Department of Defense,255.581997680664,0,1
schtype_pct,MAT,4,2005,NT,PC:P9,SCHTYPE,Department of Defense,268.885998535156,0,1
schtype_pct,MAT,4,2007,NT,PC:P1,SCHTYPE,Public,201.220001220703,0,1
schtype_pct,MAT,4,2007,NT,PC:P2,SCHTYPE,Public,220.923999023437,0,1
schtype_pct,MAT,4,2007,NT,PC:P5,SCHTYPE,Public,240.974002075195,0,1
schtype_pct,MAT,4,2007,NT,PC:P7,SCHTYPE,Public,259.181994628906,0,1
schtype_pct,MAT,4,2007,NT,PC:P9,SCHTYPE,Public,274.2919921875,0,1
schtype_pct,MAT,4,2007,NT,PC:P1,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2007,NT,PC:P2,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2007,NT,PC:P5,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2007,NT,PC:P7,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2007,NT,PC:P9,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2007,NT,PC:P1,SCHTYPE,Catholic,213.651998901367,0,1
schtype_pct,MAT,4,2007,NT,PC:P2,SCHTYPE,Catholic,231.565997314453,0,1
schtype_pct,MAT,4,2007,NT,PC:P5,SCHTYPE,Catholic,247.576000976562,0,1
schtype_pct,MAT,4,2007,NT,PC:P7,SCHTYPE,Catholic,263.329998779297,0,1
schtype_pct,MAT,4,2007,NT,PC:P9,SCHTYPE,Catholic,276.65400390625,0,1
schtype_pct,MAT,4,2007,NT,PC:P1,SCHTYPE,Bureau of Indian Education,171.509997558594,0,1
schtype_pct,MAT,4,2007,NT,PC:P2,SCHTYPE,Bureau of Indian Education,189.635998535157,0,1
schtype_pct,MAT,4,2007,NT,PC:P5,SCHTYPE,Bureau of Indian Education,208.707998657227,0,1
schtype_pct,MAT,4,2007,NT,PC:P7,SCHTYPE,Bureau of Indian Education,227.211999511719,0,1
schtype_pct,MAT,4,2007,NT,PC:P9,SCHTYPE,Bureau of Indian Education,242.058001708984,0,1
schtype_pct,MAT,4,2007,NT,PC:P1,SCHTYPE,Department of Defense,208.075997924805,0,1
schtype_pct,MAT,4,2007,NT,PC:P2,SCHTYPE,Department of Defense,224.587997436523,0,1
schtype_pct,MAT,4,2007,NT,PC:P5,SCHTYPE,Department of Defense,241.579998779297,0,1
schtype_pct,MAT,4,2007,NT,PC:P7,SCHTYPE,Department of Defense,257.017993164063,0,1
schtype_pct,MAT,4,2007,NT,PC:P9,SCHTYPE,Department of Defense,270.217993164063,0,1
schtype_pct,MAT,4,2009,NT,PC:P1,SCHTYPE,Public,201.162002563477,0,1
schtype_pct,MAT,4,2009,NT,PC:P2,SCHTYPE,Public,220.554000854492,0,1
schtype_pct,MAT,4,2009,NT,PC:P5,SCHTYPE,Public,240.615997314453,0,1
schtype_pct,MAT,4,2009,NT,PC:P7,SCHTYPE,Public,259.20400390625,0,1
schtype_pct,MAT,4,2009,NT,PC:P9,SCHTYPE,Public,274.819995117188,0,1
schtype_pct,MAT,4,2009,NT,PC:P1,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2009,NT,PC:P2,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2009,NT,PC:P5,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2009,NT,PC:P7,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2009,NT,PC:P9,SCHTYPE,Other private,999,272,0
schtype_pct,MAT,4,2009,NT,PC:P1,SCHTYPE,Catholic,211.760000610352,0,1
schtype_pct,MAT,4,2009,NT,PC:P2,SCHTYPE,Catholic,228.046002197266,0,1
schtype_pct,MAT,4,2009,NT,PC:P5,SCHTYPE,Catholic,246.017999267578,0,1
