subject,grade,year,jur,label,value,displayable
MAT,4,2013,XA,Atlanta,233.098261411454,1
MAT,4,2013,XB,Boston,236.873763990566,1
MAT,4,2013,XC,Chicago,230.500815801527,1
MAT,4,2013,XD,San Diego,240.880720171917,1
MAT,4,2013,XE,Duval County (FL),999,0
MAT,4,2013,XF,Fresno,219.685020694859,1
MAT,4,2013,XG,Guilford County (NC),999,0
MAT,4,2013,XH,Houston,235.895770669826,1
MAT,4,2013,XI,Miami-Dade,237.401893781009,1
MAT,4,2013,XJ,Jefferson County (KY),233.695562792725,1
MAT,4,2013,XK,Milwaukee,221.448833368965,1
MAT,4,2013,XL,Los Angeles,228.463311182172,1
MAT,4,2013,XM,Baltimore City,222.870648687453,1
MAT,4,2015,XA,Atlanta,228.087950862842,1
MAT,4,2015,XB,Boston,235.530490224864,1
MAT,4,2015,XC,Chicago,231.942949658617,1
MAT,4,2015,XD,San Diego,232.756387966228,1
MAT,4,2015,XE,Duval County (FL),242.795819805878,1
MAT,4,2015,XF,Fresno,217.679740324421,1
MAT,4,2015,XG,Guilford County (NC),999,0
MAT,4,2015,XH,Houston,238.707398509467,1
MAT,4,2015,XI,Miami-Dade,242.101765181464,1
MAT,4,2015,XJ,Jefferson County (KY),235.73618647922,1
MAT,4,2015,XK,Milwaukee,999,0
MAT,4,2015,XL,Los Angeles,224.179599276033,1
MAT,4,2015,XM,Baltimore City,214.955470708406,1
MAT,4,2017,XA,Atlanta,231.141713433789,1
MAT,4,2017,XB,Boston,233.334169291383,1
MAT,4,2017,XC,Chicago,231.807368221742,1
MAT,4,2017,XD,San Diego,237.446118204713,1
MAT,4,2017,XE,Duval County (FL),247.501400588803,1
MAT,4,2017,XF,Fresno,221.420880918602,1
MAT,4,2017,XG,Guilford County (NC),240.025166350474,1
MAT,4,2017,XH,Houston,235.252172607878,1
MAT,4,2017,XI,Miami-Dade,244.986590287593,1
MAT,4,2017,XJ,Jefferson County (KY),233.311937787895,1
MAT,4,2017,XK,Milwaukee,215.878390829106,1
MAT,4,2017,XL,Los Angeles,223.142941714711,1
MAT,4,2017,XM,Baltimore City,215.343817075606,1
MAT,4,2019,XA,Atlanta,231.559029932019,1
MAT,4,2019,XB,Boston,233.762546881707,1
MAT,4,2019,XC,Chicago,232.494268307733,1
MAT,4,2019,XD,San Diego,240.228781394071,1
MAT,4,2019,XE,Duval County (FL),244.154845816304,1
MAT,4,2019,XF,Fresno,223.986134736947,1
MAT,4,2019,XG,Guilford County (NC),236.108941994334,1
