dataset,subject,grade,year,jurisdiction,stat,variable,group,value,errorFlag,displayable
schtype,MAT,4,2003,NT,MN:MN,SCHTYP2,Public,233.952802361629,0,1
schtype,MAT,4,2003,NT,PC:P1,SCHTYP2,Public,196.344000244141,0,1
schtype,MAT,4,2003,NT,PC:P2,SCHTYP2,Public,215.073999023438,0,1
schtype,MAT,4,2003,NT,PC:P5,SCHTYP2,Public,235.217999267578,0,1
schtype,MAT,4,2003,NT,PC:P7,SCHTYP2,Public,254.05599975586,0,1
schtype,MAT,4,2003,NT,PC:P9,SCHTYP2,Public,269.69599609375,0,1
schtype,MAT,4,2003,NT,MN:MN,SCHTYP2,Private,244.167836224135,0,1
schtype,MAT,4,2003,NT,PC:P1,SCHTYP2,Private,210.352001953125,0,1
schtype,MAT,4,2003,NT,PC:P2,SCHTYP2,Private,227.910000610352,0,1
schtype,MAT,4,2003,NT,PC:P5,SCHTYP2,Private,245.462002563477,0,1
schtype,MAT,4,2003,NT,PC:P7,SCHTYP2,Private,261.838000488281,0,1
schtype,MAT,4,2003,NT,PC:P9,SCHTYP2,Private,275.732000732422,0,1
schtype,MAT,4,2005,NT,MN:MN,SCHTYP2,Public,999,288,0
schtype,MAT,4,2005,NT,PC:P1,SCHTYP2,Public,999,288,0
schtype,MAT,4,2005,NT,PC:P2,SCHTYP2,Public,999,288,0
schtype,MAT,4,2005,NT,PC:P5,SCHTYP2,Public,999,288,0
schtype,MAT,4,2005,NT,PC:P7,SCHTYP2,Public,999,288,0
schtype,MAT,4,2005,NT,PC:P9,SCHTYP2,Public,999,288,0
schtype,MAT,4,2005,NT,MN:MN,SCHTYP2,Private,999,288,0
schtype,MAT,4,2005,NT,PC:P1,SCHTYP2,Private,999,288,0
schtype,MAT,4,2005,NT,PC:P2,SCHTYP2,Private,999,288,0
schtype,MAT,4,2005,NT,PC:P5,SCHTYP2,Private,999,288,0
schtype,MAT,4,2005,NT,PC:P7,SCHTYP2,Private,999,288,0
schtype,MAT,4,2005,NT,PC:P9,SCHTYP2,Private,999,288,0
schtype,MAT,4,2007,NT,MN:MN,SCHTYP2,Public,239.06429300559,0,1
schtype,MAT,4,2007,NT,PC:P1,SCHTYP2,Public,201.220001220703,0,1
schtype,MAT,4,2007,NT,PC:P2,SCHTYP2,Public,220.923999023437,0,1
schtype,MAT,4,2007,NT,PC:P5,SCHTYP2,Public,240.974002075195,0,1
schtype,MAT,4,2007,NT,PC:P7,SCHTYP2,Public,259.181994628906,0,1
schtype,MAT,4,2007,NT,PC:P9,SCHTYP2,Public,274.2919921875,0,1
schtype,MAT,4,2007,NT,MN:MN,SCHTYP2,Private,246.29843635434,0,1
schtype,MAT,4,2007,NT,PC:P1,SCHTYP2,Private,213.682000732422,0,1
schtype,MAT,4,2007,NT,PC:P2,SCHTYP2,Private,230.966000366211,0,1
schtype,MAT,4,2007,NT,PC:P5,SCHTYP2,Private,247.647998046875,0,1
schtype,MAT,4,2007,NT,PC:P7,SCHTYP2,Private,263.607995605469,0,1
schtype,MAT,4,2007,NT,PC:P9,SCHTYP2,Private,277.220007324219,0,1
schtype,MAT,4,2009,NT,MN:MN,SCHTYP2,Public,239.093314491012,0,1
schtype,MAT,4,2009,NT,PC:P1,SCHTYP2,Public,201.162002563477,0,1
schtype,MAT,4,2009,NT,PC:P2,SCHTYP2,Public,220.554000854492,0,1
schtype,MAT,4,2009,NT,PC:P5,SCHTYP2,Public,240.615997314453,0,1
schtype,MAT,4,2009,NT,PC:P7,SCHTYP2,Public,259.20400390625,0,1
schtype,MAT,4,2009,NT,PC:P9,SCHTYP2,Public,274.819995117188,0,1
schtype,MAT,4,2009,NT,MN:MN,SCHTYP2,Private,245.933178136167,0,1
schtype,MAT,4,2009,NT,PC:P1,SCHTYP2,Private,212.216000366211,0,1
schtype,MAT,4,2009,NT,PC:P2,SCHTYP2,Private,229.064001464844,0,1
schtype,MAT,4,2009,NT,PC:P5,SCHTYP2,Private,247.172003173828,0,1
schtype,MAT,4,2009,NT,PC:P7,SCHTYP2,Private,263.950006103516,0,1
schtype,MAT,4,2009,NT,PC:P9,SCHTYP2,Private,278.146002197266,0,1
schtype,MAT,4,2011,NT,MN:MN,SCHTYP2,Public,240.111883013115,0,1
schtype,MAT,4,2011,NT,PC:P1,SCHTYP2,Public,202.104000854492,0,1
schtype,MAT,4,2011,NT,PC:P2,SCHTYP2,Public,221.505999755859,0,1
schtype,MAT,4,2011,NT,PC:P5,SCHTYP2,Public,241.557998657227,0,1
schtype,MAT,4,2011,NT,PC:P7,SCHTYP2,Public,260.284002685547,0,1
schtype,MAT,4,2011,NT,PC:P9,SCHTYP2,Public,275.967999267578,0,1
schtype,MAT,4,2011,NT,MN:MN,SCHTYP2,Private,247.231898751018,0,1
schtype,MAT,4,2011,NT,PC:P1,SCHTYP2,Private,211.715997314453,0,1
schtype,MAT,4,2011,NT,PC:P2,SCHTYP2,Private,230.060000610352,0,1
schtype,MAT,4,2011,NT,PC:P5,SCHTYP2,Private,248.583999633789,0,1
schtype,MAT,4,2011,NT,PC:P7,SCHTYP2,Private,265.779998779297,0,1
schtype,MAT,4,2011,NT,PC:P9,SCHTYP2,Private,280.397998046875,0,1
schtype,MAT,4,2013,NT,MN:MN,SCHTYP2,Public,241.180191279369,0,1
schtype,MAT,4,2013,NT,PC:P1,SCHTYP2,Public,202.360001373291,0,1
schtype,MAT,4,2013,NT,PC:P2,SCHTYP2,Public,221.987500762939,0,1
schtype,MAT,4,2013,NT,PC:P5,SCHTYP2,Public,242.640999603272,0,1
schtype,MAT,4,2013,NT,PC:P7,SCHTYP2,Public,261.769499206543,0,1
schtype,MAT,4,2013,NT,PC:P9,SCHTYP2,Public,277.972500610352,0,1
schtype,MAT,4,2013,NT,MN:MN,SCHTYP2,Private,246.014713067569,0,1
schtype,MAT,4,2013,NT,PC:P1,SCHTYP2,Private,208.883999633789,0,1
schtype,MAT,4,2013,NT,PC:P2,SCHTYP2,Private,228.185000610352,0,1
schtype,MAT,4,2013,NT,PC:P5,SCHTYP2,Private,247.396997833252,0,1
schtype,MAT,4,2013,NT,PC:P7,SCHTYP2,Private,265.371499633789,0,1
schtype,MAT,4,2013,NT,PC:P9,SCHTYP2,Private,280.708001708984,0,1
schtype,MAT,4,2015,NT,MN:MN,SCHTYP2,Public,999,288,0
schtype,MAT,4,2015,NT,PC:P1,SCHTYP2,Public,999,288,0
schtype,MAT,4,2015,NT,PC:P2,SCHTYP2,Public,999,288,0
schtype,MAT,4,2015,NT,PC:P5,SCHTYP2,Public,999,288,0
schtype,MAT,4,2015,NT,PC:P7,SCHTYP2,Public,999,288,0
schtype,MAT,4,2015,NT,PC:P9,SCHTYP2,Public,999,288,0
schtype,MAT,4,2015,NT,MN:MN,SCHTYP2,Private,999,288,0
schtype,MAT,4,2015,NT,PC:P1,SCHTYP2,Private,999,288,0
schtype,MAT,4,2015,NT,PC:P2,SCHTYP2,Private,999,288,0
schtype,MAT,4,2015,NT,PC:P5,SCHTYP2,Private,999,288,0
schtype,MAT,4,2015,NT,PC:P7,SCHTYP2,Private,999,288,0
schtype,MAT,4,2015,NT,PC:P9,SCHTYP2,Private,999,288,0
schtype,MAT,4,2017,NT,MN:MN,SCHTYP2,Public,999,288,0
schtype,MAT,4,2017,NT,PC:P1,SCHTYP2,Public,999,288,0
schtype,MAT,4,2017,NT,PC:P2,SCHTYP2,Public,999,288,0
schtype,MAT,4,2017,NT,PC:P5,SCHTYP2,Public,999,288,0
schtype,MAT,4,2017,NT,PC:P7,SCHTYP2,Public,999,288,0
schtype,MAT,4,2017,NT,PC:P9,SCHTYP2,Public,999,288,0
schtype,MAT,4,2017,NT,MN:MN,SCHTYP2,Private,999,288,0
