state,od_2013,od_2019
AL,12.7,16.3
AK,14.4,17.8
AZ,18.7,26.8
AR,11.1,13.5
CA,11.1,15.0
CO,15.5,18.0
CT,16.0,34.7
DE,18.7,48.0
DC,15.0,43.2
FL,12.6,25.5
GA,10.8,13.1
HI,11.0,15.9
ID,13.4,15.1
IL,12.1,21.9
IN,16.6,26.6
IA,9.3,11.5
KS,12.0,14.3
KY,23.7,32.5
LA,17.8,28.3
ME,13.2,29.9
MD,14.6,38.2
MA,16.0,32.1
MI,15.9,24.4
MN,9.6,14.2
MS,10.8,13.6
MO,17.5,26.9
MT,14.5,14.1
NE,6.5,8.7
NV,21.1,20.1
NH,15.1,32.0
NJ,14.5,31.7
NM,22.6,30.2
NY,11.3,18.2
NC,12.9,22.3
ND,2.8,11.4
OH,20.8,38.3
OK,20.6,16.7
OR,11.3,14.0
PA,19.4,35.6
RI,22.4,29.5
SC,13.0,22.7
SD,6.9,10.5
TN,18.1,31.2
TX,9.3,10.8
UT,22.1,18.9
VT,15.1,23.8
VA,10.2,18.3
WA,13.4,15.8
WV,32.2,52.8
WI,15.0,21.1
WY,17.2,14.1
