state,approval,first_sy_end,group,notes
AL,2013-06,2014,late,
AK,2013-05,2014,late,
AZ,2012-07,2013,early,
AR,2012-06,2013,early,
CA,never,,never,CORE districts-only waiver Aug 2013
CO,2012-02,2013,early,first round
CT,2012-05,2013,early,
DE,2012-05,2013,early,
DC,2012-07,2013,early,
FL,2012-02,2013,early,first round conditional
GA,2012-02,2013,early,first round conditional
HI,2013-05,2014,late,
ID,2012-10,2013,early,approval letter Oct 17 2012
IL,2014-04,2015,late,last approved
IN,2012-02,2013,early,first round
IA,never,,never,request rejected
KS,2012-07,2013,early,high-risk Aug 2013 retained
KY,2012-02,2013,early,first round
LA,2012-05,2013,early,
ME,2013-08,2014,late,
MD,2012-05,2013,early,
MA,2012-02,2013,early,first round
MI,2012-07,2013,early,
MN,2012-02,2013,early,first round
MS,2012-07,2013,early,
MO,2012-06,2013,early,
MT,never,,never,never applied
NE,never,,never,applied Mar 2015 never approved
NV,2012-08,2013,early,
NH,2013-06,2014,late,
NJ,2012-02,2013,early,first round
NM,2012-02,2013,early,approved Feb 15 2012
NY,2012-05,2013,early,
NC,2012-05,2013,early,
ND,never,,never,withdrew request
OH,2012-05,2013,early,conditional
OK,2012-02,2013,early,revoked Aug 2014 reinstated Nov 2014
OR,2012-07,2013,early,high-risk Aug 2013 retained
PA,2013-08,2014,late,
RI,2012-05,2013,early,
SC,2012-07,2013,early,
SD,2012-06,2013,early,
TN,2012-02,2013,early,first round
TX,2013-09,2014,late,
UT,2012-06,2013,early,
VT,never,,never,withdrew request
VA,2012-06,2013,early,
WA,2012-07,2013,revoked,revoked Apr 24 2014 back under NCLB 2014-15
WV,2013-05,2014,late,
WI,2012-07,2013,early,
WY,never,,never,never approved
