wave,state,county_fips,county_pop,n_blocks_total,n_blocks_covered,share_mobile_any,share_mobile_t6,share_mobile_t7,share_mobile_t7_vzw,share_mobile_t6_vzw,share_anywless_t7
2010-06,AL,01001,43671,1420,1304,0.959200,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01003,140415,5432,5217,0.992426,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01005,29038,1388,1232,0.893202,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01007,20826,1317,1179,0.827729,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01009,51024,2363,2236,0.919237,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01011,11714,622,575,0.900264,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01013,21399,1477,1076,0.767990,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01015,112249,4358,4326,0.993697,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01017,36583,1792,1626,0.918918,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01019,23988,1896,1864,0.970918,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01021,39593,1629,1594,0.938349,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01023,15922,1061,937,0.784945,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01025,27867,1503,1398,0.927617,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01027,14254,1279,1021,0.771850,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01029,14123,1186,1097,0.913855,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01031,43615,1879,1727,0.916014,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01033,54984,2662,2613,0.970741,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01035,14089,1182,757,0.608303,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01037,12202,1124,878,0.853434,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01039,37631,2844,2651,0.932680,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01041,13665,952,761,0.794027,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01043,77483,3285,3172,0.927926,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01045,49129,1822,1779,0.945232,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01047,46365,2348,1692,0.850323,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01049,64452,3834,3758,0.958445,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01051,65874,2905,2800,0.938917,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01053,38440,2783,2350,0.931446,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01055,103459,4571,4537,0.982844,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01057,18495,1548,822,0.515767,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01059,31223,2029,1672,0.860382,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01061,25764,2160,1836,0.841561,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01063,9974,995,945,0.939680,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01065,17185,937,846,0.827946,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01067,16310,1246,1131,0.852198,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01069,88787,3493,3477,0.997194,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01071,53926,3329,2960,0.909744,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01073,662047,18998,18902,0.995465,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01075,15904,1452,1115,0.714446,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01077,87966,3247,3124,0.978108,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01079,34803,1593,1571,0.966022,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01081,115092,2966,2952,0.998842,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01083,65676,2558,2491,0.981233,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01085,13473,924,731,0.839827,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01087,24105,1340,1306,0.938743,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01089,276700,5686,5663,0.996313,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01091,22539,1634,1562,0.884470,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01093,31214,2682,2060,0.720011,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01095,82231,3383,3339,0.982084,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01097,399843,8432,8363,0.997392,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01099,24324,1291,1124,0.912674,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01101,223510,4251,4240,0.995888,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01103,111064,3295,3224,0.948759,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01105,11861,835,623,0.804183,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01107,20949,1480,1384,0.918470,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01109,29605,1710,1417,0.889247,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01111,22380,1618,1318,0.784860,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01113,49756,1637,1634,0.998108,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01115,64742,2863,2847,0.994533,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01117,143293,4344,4252,0.980776,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01119,14798,1000,993,0.970646,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01121,80321,4110,4028,0.979585,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01123,41475,2590,2475,0.946308,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01125,164875,5523,5270,0.978858,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01127,70713,3153,3008,0.961609,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01129,18097,1180,588,0.350738,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01131,13183,1237,855,0.702451,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AL,01133,24843,1557,991,0.541740,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02013,2697,188,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02016,5465,273,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02020,260283,3540,3407,0.992289,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02050,16006,1054,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02060,1258,98,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02068,1893,227,88,0.313479,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02070,4922,315,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02090,82840,2608,2572,0.998999,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02100,2392,161,6,0.001697,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02110,30711,611,584,0.993698,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02122,49691,2313,2002,0.954159,0.000000,0.000000,0.000000,0.000000,0.000000
2010-06,AK,02130,14070,371,328,0.995753,0.000000,0.000000,0.000000,0.000000,0.000000
