county_fips,county_pop,state,n_waves_observed,first_t6_25,never_t6_25_by_jun2014,first_t6_50,never_t6_50_by_jun2014,first_t6_75,never_t6_75_by_jun2014,first_t7_25,never_t7_25_by_jun2014,first_t7_50,never_t7_50_by_jun2014,first_t7_75,never_t7_75_by_jun2014
01001,54571,AL,9,2011-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False
01003,182265,AL,9,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False
01005,27457,AL,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
01007,22915,AL,9,2012-12,False,2013-06,False,2013-06,False,2012-12,False,2013-06,False,2013-06,False
01009,57322,AL,9,2011-12,False,2011-12,False,2012-06,False,2011-12,False,2011-12,False,2012-06,False
01011,10914,AL,9,2012-06,False,2012-06,False,2013-06,False,2012-06,False,2012-06,False,2013-06,False
01013,20947,AL,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
01015,118572,AL,9,2011-12,False,2011-12,False,2012-06,False,2012-12,False,2012-12,False,2012-12,False
01017,34215,AL,9,2012-06,False,2012-06,False,2012-12,False,2012-06,False,2012-06,False,2012-12,False
01019,25989,AL,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
01021,43643,AL,9,2012-12,False,2012-12,False,2013-06,False,2012-12,False,2012-12,False,2013-06,False
01023,13859,AL,9,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False,2013-12,False
01025,25833,AL,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
01027,13932,AL,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
01029,14972,AL,9,2012-12,False,2012-12,False,2013-06,False,2012-12,False,2012-12,False,2013-06,False
01031,49948,AL,9,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
01033,54428,AL,9,2010-12,False,2010-12,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
01035,13228,AL,9,2012-12,False,2012-12,False,2013-06,False,2012-12,False,2012-12,False,2013-06,False
01037,11539,AL,9,2012-12,False,2013-06,False,2013-06,False,2012-12,False,2013-06,False,2013-06,False
01039,37765,AL,9,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
01041,13906,AL,9,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
01043,80406,AL,9,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False
01045,50251,AL,9,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
01047,43820,AL,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
01049,71109,AL,9,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False,2012-12,False
01051,79303,AL,9,2011-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False,2011-06,False
01053,38319,AL,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
01055,104430,AL,9,2011-12,False,2012-06,False,2012-06,False,2012-12,False,2012-12,False,2012-12,False
01057,17241,AL,9,2013-12,False,2014-06,False,2014-06,False,2013-12,False,2014-06,False,2014-06,False
01059,31704,AL,9,2012-06,False,2012-06,False,2013-06,False,2012-06,False,2012-06,False,2013-06,False
01061,26790,AL,9,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
01063,9045,AL,9,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False,2013-06,False
01065,15760,AL,9,2012-12,False,2013-06,False,2013-06,False,2012-12,False,2013-06,False,2013-06,False
01067,17302,AL,9,2012-06,False,2012-06,False,2013-06,False,2012-06,False,2012-06,False,2013-06,False
01069,101547,AL,9,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False,2012-06,False
