year,sample,yearSampleLabel,Cohort,CohortLabel,stattype,subject,grade,scale,jurisdiction,jurisLabel,variable,variableLabel,varValue,varValueLabel,value,isStatDisplayable,errorFlag
2013,R3,2013,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,245.690069877134,1,0
2013,R3,2013,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,240.665305197813,1,0
2013,R3,2013,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,235.139884939494,1,0
2013,R3,2013,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,235.386202647767,1,0
2013,R3,2013,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,218.37629513742,1,0
2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,245.184411065247,1,0
2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,239.567813031059,1,0
2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,233.140032402001,1,0
2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,231.289247236957,1,0
2015,R3,2015,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,215.565604651749,1,0
2017,R3,2017,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,246.183872800567,1,0
2017,R3,2017,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,241.952690163075,1,0
2017,R3,2017,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,234.641317586338,1,0
2017,R3,2017,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,230.917325611051,1,0
2017,R3,2017,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,211.919272862662,1,0
2019,R3,2019,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,247.527075320236,1,0
2019,R3,2019,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,241.158787598127,1,0
2019,R3,2019,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,233.708580368792,1,0
2019,R3,2019,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,229.480266467397,1,0
2019,R3,2019,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,212.776270722345,1,0
2022,R3,2022,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,244.880056732858,1,0
2022,R3,2022,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,236.592049252945,1,0
2022,R3,2022,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,231.659118614334,1,0
2022,R3,2022,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,229.599481026012,1,0
2022,R3,2022,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,216.857367534607,1,0
2024,R3,2024,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,246.009001599181,1,0
2024,R3,2024,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,238.995362343627,1,0
2024,R3,2024,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,232.18123279109,1,0
2024,R3,2024,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,227.122410470595,1,0
2024,R3,2024,1,Grade 4,MN:MN,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,211.68640590627,1,0
2013,R3,2013,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,50.1250993464043,1,0
2013,R3,2013,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,30.4213102934059,1,0
2013,R3,2013,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,11.8583711609968,1,0
2013,R3,2013,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,5.067860937218,1,0
2013,R3,2013,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,2.52735826197505,1,0
2015,R3,2015,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,50.8550660377946,1,0
2015,R3,2015,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,29.8913408842467,1,0
2015,R3,2015,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,11.6986725488904,1,0
2015,R3,2015,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,4.83706429308014,1,0
2015,R3,2015,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,2.71785623598824,1,0
2017,R3,2017,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,43.8688283654056,1,0
2017,R3,2017,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,31.844417612637,1,0
2017,R3,2017,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,13.4590109393286,1,0
2017,R3,2017,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,6.17951584452672,1,0
2017,R3,2017,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,4.64822723810221,1,0
2019,R3,2019,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,43.5790346132665,1,0
2019,R3,2019,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,32.0744250901031,1,0
2019,R3,2019,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,13.710732387695,1,0
2019,R3,2019,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,6.34581223230388,1,0
2019,R3,2019,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,4.2899956766315,1,0
2022,R3,2022,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,37.5396518941071,1,0
2022,R3,2022,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,27.4324911672061,1,0
2022,R3,2022,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,14.0334179675761,1,0
2022,R3,2022,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,11.3382736060198,1,0
2022,R3,2022,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,9.65616536509092,1,0
2024,R3,2024,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,38.2023966002985,1,0
2024,R3,2024,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,31.3933894004917,1,0
2024,R3,2024,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,15.4887201075158,1,0
2024,R3,2024,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,8.93971183796424,1,0
2024,R3,2024,1,Grade 4,RP:RP,MAT,4,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,5.97578205372972,1,0
2013,R3,2013,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,290.155184945253,1,0
2013,R3,2013,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,285.262731064403,1,0
2013,R3,2013,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,274.655540267657,1,0
2013,R3,2013,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,270.889003259532,1,0
2013,R3,2013,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,253.704067829625,1,0
2015,R3,2015,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,288.303830334993,1,0
2015,R3,2015,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,282.640196819544,1,0
2015,R3,2015,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,271.72225252573,1,0
2015,R3,2015,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,265.735295064802,1,0
2015,R3,2015,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,251.009053927432,1,0
2017,R3,2017,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,289.285635366283,1,0
2017,R3,2017,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,284.001597780871,1,0
2017,R3,2017,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,273.541503461361,1,0
2017,R3,2017,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,267.590418883449,1,0
2017,R3,2017,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,250.33197669354,1,0
2019,R3,2019,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,289.627849254412,1,0
2019,R3,2019,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,282.575492650111,1,0
2019,R3,2019,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,270.564323453907,1,0
2019,R3,2019,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,265.405530845685,1,0
2019,R3,2019,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,245.706996207819,1,0
2022,R3,2022,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,283.133601764103,1,0
2022,R3,2022,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,276.239716702674,1,0
2022,R3,2022,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,265.805460536494,1,0
2022,R3,2022,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,264.206077440922,1,0
2022,R3,2022,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,252.304184242374,1,0
2024,R3,2024,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,283.756751666839,1,0
2024,R3,2024,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,276.507811152597,1,0
2024,R3,2024,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,264.325018783086,1,0
2024,R3,2024,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,258.937428257604,1,0
2024,R3,2024,2,Grade 8,MN:MN,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,241.475167485138,1,0
2013,R3,2013,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,44.1554879905633,1,0
2013,R3,2013,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,36.2943917768359,1,0
2013,R3,2013,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,13.0971446757614,1,0
2013,R3,2013,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,4.80670698695288,1,0
2013,R3,2013,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,1.64626856988654,1,0
2015,R3,2015,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,44.775900925066,1,0
2015,R3,2015,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,36.2917298189765,1,0
2015,R3,2015,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,3,3-4 days,12.5712586031936,1,0
2015,R3,2015,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,4,5-10 days,4.72052638740383,1,0
2015,R3,2015,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,5,More than 10 days,1.64058426536005,1,0
2017,R3,2017,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,1,None,40.3652142096279,1,0
2017,R3,2017,2,Grade 8,RP:RP,MAT,8,MRPCM,NT,National,B018101,Days absent from school in the last month,2,1-2 days,38.1122461929441,1,0
